実施_年月日,全国地方公共団体コード,都道府県名,市区町村名,検査実施_件数,備考,【参考】件数（県）
2020-1-31,430005,熊本県,-,1,熊本市以外,1
2020-1-31,431001,熊本県,熊本市,0,,
2020-2-1,430005,熊本県,-,0,熊本市以外,0
2020-2-1,431001,熊本県,熊本市,0,,
2020-2-2,430005,熊本県,-,0,熊本市以外,0
2020-2-2,431001,熊本県,熊本市,0,,
2020-2-3,430005,熊本県,-,0,熊本市以外,0
2020-2-3,431001,熊本県,熊本市,0,,
2020-2-4,430005,熊本県,-,0,熊本市以外,0
2020-2-4,431001,熊本県,熊本市,0,,
2020-2-5,430005,熊本県,-,0,熊本市以外,0
2020-2-5,431001,熊本県,熊本市,0,,
2020-2-6,430005,熊本県,-,0,熊本市以外,0
2020-2-6,431001,熊本県,熊本市,0,,
2020-2-7,430005,熊本県,-,0,熊本市以外,0
2020-2-7,431001,熊本県,熊本市,0,,
2020-2-8,430005,熊本県,-,0,熊本市以外,0
2020-2-8,431001,熊本県,熊本市,1,,
2020-2-9,430005,熊本県,-,0,熊本市以外,0
2020-2-9,431001,熊本県,熊本市,0,,
2020-2-10,430005,熊本県,-,0,熊本市以外,0
2020-2-10,431001,熊本県,熊本市,0,,
2020-2-11,430005,熊本県,-,0,熊本市以外,0
2020-2-11,431001,熊本県,熊本市,0,,
2020-2-12,430005,熊本県,-,0,熊本市以外,0
2020-2-12,431001,熊本県,熊本市,0,,
2020-2-13,430005,熊本県,-,0,熊本市以外,0
2020-2-13,431001,熊本県,熊本市,0,,
2020-2-14,430005,熊本県,-,0,熊本市以外,0
2020-2-14,431001,熊本県,熊本市,0,,
2020-2-15,430005,熊本県,-,0,熊本市以外,0
2020-2-15,431001,熊本県,熊本市,1,,
2020-2-16,430005,熊本県,-,2,熊本市以外,2
2020-2-16,431001,熊本県,熊本市,0,,
2020-2-17,430005,熊本県,-,0,熊本市以外,0
2020-2-17,431001,熊本県,熊本市,2,,
2020-2-18,430005,熊本県,-,1,熊本市以外,1
2020-2-18,431001,熊本県,熊本市,2,,
2020-2-19,430005,熊本県,-,1,熊本市以外,1
2020-2-19,431001,熊本県,熊本市,2,,
2020-2-20,430005,熊本県,-,3,熊本市以外,3
2020-2-20,431001,熊本県,熊本市,1,,
2020-2-21,430005,熊本県,-,2,熊本市以外,2
2020-2-21,431001,熊本県,熊本市,9,,
2020-2-22,430005,熊本県,-,6,熊本市以外,6
2020-2-22,431001,熊本県,熊本市,8,,
2020-2-23,430005,熊本県,-,5,熊本市以外,5
2020-2-23,431001,熊本県,熊本市,3,,
2020-2-24,430005,熊本県,-,5,熊本市以外,5
2020-2-24,431001,熊本県,熊本市,9,,
2020-2-25,430005,熊本県,-,9,熊本市以外,9
2020-2-25,431001,熊本県,熊本市,10,,
2020-2-26,430005,熊本県,-,10,熊本市以外,10
2020-2-26,431001,熊本県,熊本市,8,,
2020-2-27,430005,熊本県,-,7,熊本市以外,7
2020-2-27,431001,熊本県,熊本市,9,,
2020-2-28,430005,熊本県,-,11,熊本市以外,11
2020-2-28,431001,熊本県,熊本市,15,,
2020-2-29,430005,熊本県,-,9,熊本市以外,9
2020-2-29,431001,熊本県,熊本市,7,,
2020-3-01,430005,熊本県,-,2,熊本市以外,2
2020-3-01,431001,熊本県,熊本市,6,,
2020-3-02,430005,熊本県,-,7,熊本市以外,7
2020-3-02,431001,熊本県,熊本市,18,,
2020-3-03,430005,熊本県,-,7,熊本市以外,7
2020-3-03,431001,熊本県,熊本市,8,,
2020-3-04,430005,熊本県,-,8,熊本市以外,8
2020-3-04,431001,熊本県,熊本市,9,,
2020-3-05,430005,熊本県,-,10,熊本市以外,10
2020-3-05,431001,熊本県,熊本市,15,,
2020-3-06,430005,熊本県,-,5,熊本市以外,5
2020-3-06,431001,熊本県,熊本市,6,,
2020-3-07,430005,熊本県,-,9,熊本市以外,9
2020-3-07,431001,熊本県,熊本市,8,,
2020-3-08,430005,熊本県,-,1,熊本市以外,1
2020-3-08,431001,熊本県,熊本市,3,,
2020-3-09,430005,熊本県,-,19,熊本市以外,19
2020-3-09,431001,熊本県,熊本市,9,,
2020-3-10,430005,熊本県,-,9,熊本市以外,9
2020-3-10,431001,熊本県,熊本市,14,,
2020-3-11,430005,熊本県,-,11,熊本市以外,11
2020-3-11,431001,熊本県,熊本市,10,,
2020-3-12,430005,熊本県,-,6,熊本市以外,6
2020-3-12,431001,熊本県,熊本市,7,,
2020-3-13,430005,熊本県,-,8,熊本市以外,8
2020-3-13,431001,熊本県,熊本市,8,,
2020-3-14,430005,熊本県,-,5,熊本市以外,5
2020-3-14,431001,熊本県,熊本市,2,,
2020-3-15,430005,熊本県,-,3,熊本市以外,3
2020-3-15,431001,熊本県,熊本市,7,,
2020-3-16,430005,熊本県,-,13,熊本市以外,13
2020-3-16,431001,熊本県,熊本市,9,,
2020-3-17,430005,熊本県,-,12,熊本市以外,12
2020-3-17,431001,熊本県,熊本市,17,,
2020-3-18,430005,熊本県,-,6,熊本市以外,6
2020-3-18,431001,熊本県,熊本市,11,,
2020-3-19,430005,熊本県,-,16,熊本市以外,16
2020-3-19,431001,熊本県,熊本市,9,,
2020-3-20,430005,熊本県,-,4,熊本市以外,4
2020-3-20,431001,熊本県,熊本市,8,,
2020-3-21,430005,熊本県,-,5,熊本市以外,5
2020-3-21,431001,熊本県,熊本市,3,,
2020-3-22,430005,熊本県,-,4,熊本市以外,4
2020-3-22,431001,熊本県,熊本市,5,,
2020-3-23,430005,熊本県,-,13,熊本市以外,13
2020-3-23,431001,熊本県,熊本市,9,,
2020-3-24,430005,熊本県,-,16,熊本市以外,16
2020-3-24,431001,熊本県,熊本市,8,,
2020-3-25,430005,熊本県,-,13,熊本市以外,13
2020-3-25,431001,熊本県,熊本市,15,,
2020-3-26,430005,熊本県,-,14,熊本市以外,14
2020-3-26,431001,熊本県,熊本市,49,,
2020-3-27,430005,熊本県,-,12,熊本市以外,12
2020-3-27,431001,熊本県,熊本市,84,,
2020-3-28,430005,熊本県,-,13,熊本市以外,13
2020-3-28,431001,熊本県,熊本市,42,,
2020-3-29,430005,熊本県,-,1,熊本市以外,1
2020-3-29,431001,熊本県,熊本市,46,,
2020-3-30,430005,熊本県,-,21,熊本市以外,21
2020-3-30,431001,熊本県,熊本市,48,,
2020-3-31,430005,熊本県,-,14,熊本市以外,14
2020-3-31,431001,熊本県,熊本市,48,,
2020-4-01,430005,熊本県,-,21,熊本市以外,21
2020-4-01,431001,熊本県,熊本市,27,,
2020-4-02,430005,熊本県,-,17,熊本市以外,17
2020-4-02,431001,熊本県,熊本市,43,,
2020-4-03,430005,熊本県,-,17,熊本市以外,17
2020-4-03,431001,熊本県,熊本市,36,,
2020-4-04,430005,熊本県,-,18,熊本市以外,18
2020-4-04,431001,熊本県,熊本市,38,,
2020-4-05,430005,熊本県,-,5,熊本市以外,5
2020-4-05,431001,熊本県,熊本市,211,,
2020-4-06,430005,熊本県,-,13,熊本市以外,13
2020-4-06,431001,熊本県,熊本市,28,,
2020-4-07,430005,熊本県,-,39,熊本市以外,39
2020-4-07,431001,熊本県,熊本市,52,,
2020-4-08,430005,熊本県,-,25,熊本市以外,25
2020-4-08,431001,熊本県,熊本市,62,,
2020-4-09,430005,熊本県,-,22,熊本市以外,22
2020-4-09,431001,熊本県,熊本市,32,,
2020-4-10,430005,熊本県,-,38,熊本市以外,38
2020-4-10,431001,熊本県,熊本市,37,,
2020-4-11,430005,熊本県,-,16,熊本市以外,16
2020-4-11,431001,熊本県,熊本市,38,,
2020-4-12,430005,熊本県,-,29,熊本市以外,29
2020-4-12,431001,熊本県,熊本市,26,,
2020-4-13,430005,熊本県,-,42,熊本市以外,42
2020-4-13,431001,熊本県,熊本市,25,,
2020-4-14,430005,熊本県,-,53,熊本市以外,53
2020-4-14,431001,熊本県,熊本市,59,,
2020-4-15,430005,熊本県,-,39,熊本市以外,39
2020-4-15,431001,熊本県,熊本市,36,,
2020-4-16,430005,熊本県,-,24,熊本市以外,24
2020-4-16,431001,熊本県,熊本市,49,,
2020-4-17,430005,熊本県,-,30,熊本市以外,30
2020-4-17,431001,熊本県,熊本市,38,,
2020-4-18,430005,熊本県,-,32,熊本市以外,32
2020-4-18,431001,熊本県,熊本市,46,,
2020-4-19,430005,熊本県,-,13,熊本市以外,13
2020-4-19,431001,熊本県,熊本市,53,,
2020-4-20,430005,熊本県,-,20,熊本市以外,20
2020-4-20,431001,熊本県,熊本市,29,,
2020-4-21,430005,熊本県,-,21,熊本市以外,21
2020-4-21,431001,熊本県,熊本市,32,,
2020-4-22,430005,熊本県,-,27,熊本市以外,27
2020-4-22,431001,熊本県,熊本市,32,,
2020-4-23,430005,熊本県,-,15,熊本市以外,15
2020-4-23,431001,熊本県,熊本市,31,,
2020-4-24,430005,熊本県,-,28,熊本市以外,28
2020-4-24,431001,熊本県,熊本市,81,,
2020-4-25,430005,熊本県,-,20,熊本市以外,20
2020-4-25,431001,熊本県,熊本市,86,,
2020-4-26,430005,熊本県,-,11,熊本市以外,11
2020-4-26,431001,熊本県,熊本市,63,,
2020-4-27,430005,熊本県,-,17,熊本市以外,17
2020-4-27,431001,熊本県,熊本市,73,,
2020-4-28,430005,熊本県,-,24,熊本市以外,24
2020-4-28,431001,熊本県,熊本市,83,,
2020-4-29,430005,熊本県,-,16,熊本市以外,16
2020-4-29,431001,熊本県,熊本市,23,,
2020-4-30,430005,熊本県,-,12,熊本市以外,12
2020-4-30,431001,熊本県,熊本市,18,,
2020-5-01,430005,熊本県,-,29,熊本市以外,29
2020-5-01,431001,熊本県,熊本市,17,,
2020-5-02,430005,熊本県,-,12,熊本市以外,12
2020-5-02,431001,熊本県,熊本市,24,,
2020-5-03,430005,熊本県,-,10,熊本市以外,10
2020-5-03,431001,熊本県,熊本市,14,,
2020-5-04,430005,熊本県,-,9,熊本市以外,9
2020-5-04,431001,熊本県,熊本市,20,,
2020-5-05,430005,熊本県,-,9,熊本市以外,9
2020-5-05,431001,熊本県,熊本市,21,,
2020-5-06,430005,熊本県,-,15,熊本市以外,15
2020-5-06,431001,熊本県,熊本市,17,,
2020-5-07,430005,熊本県,-,25,熊本市以外,25
2020-5-07,431001,熊本県,熊本市,16,,
2020-5-08,430005,熊本県,-,16,熊本市以外,16
2020-5-08,431001,熊本県,熊本市,24,,
2020-5-09,430005,熊本県,-,15,熊本市以外,15
2020-5-09,431001,熊本県,熊本市,21,,
2020-5-10,430005,熊本県,-,9,熊本市以外,9
2020-5-10,431001,熊本県,熊本市,23,,
2020-5-11,430005,熊本県,-,12,熊本市以外,12
2020-5-11,431001,熊本県,熊本市,11,,
2020-5-12,430005,熊本県,-,16,熊本市以外,16
2020-5-12,431001,熊本県,熊本市,29,,
2020-5-13,430005,熊本県,-,13,熊本市以外,13
2020-5-13,431001,熊本県,熊本市,18,,
2020-5-14,430005,熊本県,-,16,熊本市以外,16
2020-5-14,431001,熊本県,熊本市,17,,
2020-5-15,430005,熊本県,-,12,熊本市以外,12
2020-5-15,431001,熊本県,熊本市,22,,
2020-5-16,430005,熊本県,-,6,熊本市以外,6
2020-5-16,431001,熊本県,熊本市,29,,
2020-5-17,430005,熊本県,-,9,熊本市以外,9
2020-5-17,431001,熊本県,熊本市,7,,
2020-5-18,430005,熊本県,-,2,熊本市以外,2
2020-5-18,431001,熊本県,熊本市,12,,
2020-5-19,430005,熊本県,-,8,熊本市以外,8
2020-5-19,431001,熊本県,熊本市,15,,
2020-5-20,430005,熊本県,-,5,熊本市以外,5
2020-5-20,431001,熊本県,熊本市,17,,
2020-5-21,430005,熊本県,-,5,熊本市以外,5
2020-5-21,431001,熊本県,熊本市,15,,
2020-5-22,430005,熊本県,-,5,熊本市以外,5
2020-5-22,431001,熊本県,熊本市,10,,
2020-5-23,430005,熊本県,-,5,熊本市以外,5
2020-5-23,431001,熊本県,熊本市,11,,
2020-5-24,430005,熊本県,-,1,熊本市以外,1
2020-5-24,431001,熊本県,熊本市,4,,
2020-5-25,430005,熊本県,-,4,熊本市以外,4
2020-5-25,431001,熊本県,熊本市,3,,
2020-5-26,430005,熊本県,-,5,熊本市以外,5
2020-5-26,431001,熊本県,熊本市,10,,
2020-5-27,430005,熊本県,-,3,熊本市以外,3
2020-5-27,431001,熊本県,熊本市,4,,
